,通道_00,通道_01,通道_02,通道_03,通道_04,通道_10,通道_11,通道_12,通道_13,通道_14,通道_20,通道_21,通道_22,通道_23,通道_24,通道_30,通道_31,通道_32,通道_33,通道_34,通道_40,通道_41,通道_42,通道_43,通道_44
第 1 分钟内,9260.807962186344,7895.304977036925,2083.33700705925,12258.002048119408,10366.418532759388,12309.247280615571,12342.013722878648,7732.53945346977,6055.56838560375,11579.629606479066,6413.668087580489,5791.971915539172,6214.1612265055155,19566.340062377378,16403.20876554062,3612.064183961251,4773.2394906428235,6878.205770899556,3898.8457566808065,14562.154078193082,3029.2797597639,2648.9893423552494,2514.1998238349333,2353.296778959164,3088.4327493858946
第 2 分钟内,966.0942783330684,7493.56190860481,9244.19906059798,9306.247613668791,13574.820661149453,3130.457062969712,1564.797694194116,1056.9968550387712,3528.6428022841574,3410.972796820235,781.1356910761824,2215.8707367515235,682.7204797308514,2505.1236545961,1801.2020845096267,788.0818157837784,928.7564713151223,1064.0704572743489,2457.7684817779955,4723.478336492961,876.7777082214598,807.6688624439194,1289.490900978475,1296.2058986968768,609.5597415444063
第 3 分钟内,960.1446808147302,3128.367903426144,2234.7254677672463,815.6902210914413,0.0,2048.7799470663012,1360.203110910239,489.8311121808947,1695.2676725887723,2014.8241671804717,315.3872583015618,837.2953754913542,87.51440134263248,2079.1502619734383,3563.613086933794,281.38768713577883,0.0,1443.8884330883739,248.8353163523425,1917.7146194303205,622.4374884067292,318.5981899008257,382.3553630421775,501.9710840135376,578.7177375298343
第 4 分钟内,323.76027372997487,604.0644341596344,0.0,4134.056760687061,4006.450319895637,1864.0738030825742,2103.556372531937,2431.8946082432885,1658.6109842300502,247.99584699742263,550.0154357782449,395.9657338060715,615.2101005364675,2824.4307625635847,74.16355520418438,294.523947783302,966.9141230106616,939.5697232906459,511.3736057830247,5408.635848940437,208.00445373687762,228.4673521010409,587.5563144045409,736.236108525176,822.557877304298
第 5 分钟内,1130.2869395978341,1527.7102536736056,1740.311676218611,0.0,655.5835517578525,0.0,1498.534719135423,637.8112235962035,2975.6887535098795,5883.516450478361,929.3796453593095,485.97794043843896,1492.3497742427644,0.0,2533.030733031934,227.22780628133114,967.1120275292633,379.22318262381305,892.5252927914698,0.0,339.06640415431684,289.4146886356648,0.0,461.16634578631783,209.61038550094236
第 6 分钟内,173.20957351932884,2830.471850206188,281.4410951696191,0.0,2791.2328062385204,0.0,1496.881810963896,418.66355502587976,167.26705869744183,1468.8592305011844,12.426262084125483,290.1205558878064,1070.9588285754435,1699.2578494042245,4117.252268118056,225.37919334169783,165.03364181576762,25.395968915327103,0.0,0.0,359.25606095073454,117.01145459845065,150.14055015252598,284.45133487316343,325.15978308352715
第 7 分钟内,1310.5769561383931,0.0,478.940870389677,0.0,780.5405785695766,842.5091498843831,702.8882380927971,1914.174353736562,628.4946294973925,750.395069908569,510.6504667507688,693.8856655707641,270.8879097222598,0.0,0.0,49.82714720614604,487.4213776157849,341.65465118410066,352.2235570412595,1703.3674543371162,168.61023745632338,189.04252864519367,284.3519837836029,438.3845080792744,140.69448051686413
第 8 分钟内,0.0,110.74551914838958,0.0,893.5188202405552,3777.51853961515,249.53054728607822,632.6121544892521,381.2907986835635,1144.478066053125,0.0,296.75104122592165,139.7174093190406,757.7388932069953,0.0,0.0,142.78649911323373,356.26675743128,0.0,224.79072019754676,2628.2889624465606,49.35458449901489,120.83489548582656,174.07670540383333,0.0,191.526278792433
第 9 分钟内,1017.5481290112075,1454.7733182264346,1614.753508148293,111.980343916337,457.39467789637274,1715.8797468306875,94.92068463980104,801.3053312203992,0.0,1565.3163843684451,430.2339162229182,0.0,216.4598976216439,1673.7307289486198,0.0,0.0,190.0095256368586,621.0286482090232,132.57318187058263,1205.0336213377013,53.03132024817387,58.071351867471094,0.0,345.7360157362309,99.34679982803209
第 10 分钟内,938.3175051835278,867.0659202499519,460.435287086686,1034.9668224346533,2153.0358115757117,0.0,1288.9226737885765,260.7737905428512,704.8037805657223,935.1263651802583,0.0,858.4106927514367,0.0,1012.2590147242736,338.89903281696024,119.20170426132245,72.51972506834863,290.9542007394557,241.82718606240087,0.0,116.8141606545214,198.61682321348417,53.72560693507694,326.96224401445943,180.72138988997176
第 11 分钟内,581.1054456016718,92.11281177884666,2663.52649463783,1580.2594266465167,3361.49995988686,0.0,151.04620198407792,457.06489729724126,0.0,78.07165127794724,138.3175921970833,357.169820387644,84.44869467521494,805.9454618719756,1577.131540117989,160.85269087203778,0.0,135.52786651191127,0.0,623.712658737044,48.60017141202479,0.0,0.0,0.0,60.89324753895926
第 12 分钟内,738.9289120192261,1273.4802317176654,0.0,0.0,698.5666785633366,1091.5598117520276,0.0,612.0115677332287,302.3441018117592,387.75740304004285,47.08740664100333,175.02709959214553,167.10607118446205,0.0,1036.97748273045,122.27408786051092,505.3552369462632,32.323557001574954,76.93010486537969,193.36334965257265,109.99742114396213,126.47208511577264,95.3428472491214,528.0023940889805,127.16547936269126
第 13 分钟内,81.22897325562371,0.0,0.0,237.7781759552454,2063.432753795525,850.1008105947549,0.0,0.0,576.3822039558872,0.0,0.0,42.098924111312954,0.0,867.7377704295359,1165.080147741406,27.0546379255793,0.0,129.60653291597555,469.7056644066979,396.78843969594163,171.4896777422873,6.314840389233723,226.07765006359114,0.0,55.03788816619635
第 14 分钟内,0.0,1912.016491115748,0.0,0.0,103.59424373626825,0.0,738.1295015235955,0.0,182.10183115991822,0.0,137.17191852335964,329.8511749055615,0.0,1490.0845266609685,300.4982005433267,210.85566457631649,179.2264661829322,291.81123228803335,792.218984163439,318.5670127879566,96.64552412149715,86.33186099668455,0.0,310.7268729376374,258.2997338026762
