,通道_00,通道_01,通道_02,通道_03,通道_04,通道_10,通道_11,通道_12,通道_13,通道_14,通道_20,通道_21,通道_22,通道_23,通道_24,通道_30,通道_31,通道_32,通道_33,通道_34,通道_40,通道_41,通道_42,通道_43,通道_44
第 1 分钟内,0.032349887457048365,0.016918107192640086,0.00322726308532878,0.01770144625630815,0.008254113552152331,0.04682776626854546,0.03913661284722514,0.039719536316499826,0.02088178923828765,0.02928491401819966,0.0713405036340653,0.047511673596280835,0.038260937325370725,0.06981488233009969,0.041509011708825594,0.07479893772516011,0.05047346128431074,0.06432230506893555,0.03369235614746202,0.045273348540369185,0.14066765739715326,0.10414050644544082,0.07098373025857763,0.044813323891009116,0.06970137002043741
第 2 分钟内,0.0037440787062303915,0.018590411477815594,0.014394634038932763,0.015488581006556201,0.01167526576812411,0.01428697722421135,0.00572675809940959,0.006159894164499247,0.01338247345481669,0.009944276467085233,0.010156761602918452,0.020989618657853537,0.004533852047128972,0.011315724442152564,0.0054864055174458914,0.01846672884476086,0.010979427454680946,0.011578553342167064,0.023819455208440976,0.01789840089299377,0.04817467352179583,0.0363691558947381,0.04119102380230899,0.027203614758798844,0.015317396514491044
第 3 分钟内,0.003995794766724736,0.008525973779158535,0.003853706555905556,0.0015785270240818439,0.0,0.009907991566367791,0.005125162525856819,0.0028942466829882108,0.006838211873075428,0.006188583907306644,0.0041300358831527495,0.008348034674249938,0.000578343276337101,0.009973124058118232,0.01125103844705061,0.0067701752551594385,0.0,0.01645783128698275,0.0025215495187400627,0.0078485499621046,0.03661466722619622,0.015013529470359943,0.013063855166627114,0.011088617147976265,0.015068125986183567
第 4 分钟内,0.0011427514088974133,0.0017238976451213195,0.0,0.007572421315957867,0.0035145702873669027,0.009547415027886141,0.008257687687575066,0.014920241633856302,0.006844075432335117,0.0006305849160027632,0.007389002106051756,0.004025778578029993,0.0042503143357246476,0.014462259116317266,0.0002601085061896269,0.007289528636887921,0.011912612000584355,0.011126189801659248,0.005279427841796136,0.0241612526010182,0.012797461975552649,0.011040722340552422,0.020565378820780245,0.01691821928159265,0.022390298588781388
第 5 分钟内,0.004675095530483286,0.0042918803206814515,0.003046873807449335,0.0,0.0006797593776235455,0.0,0.0061747580354636344,0.004078525716213255,0.013227416939207703,0.01978231697229882,0.012935512350373268,0.005066961866215691,0.010727763595160034,0.0,0.008475429639672294,0.005674878783059167,0.012349424380963647,0.004655300215079317,0.009420357909204924,0.0,0.02135648202099527,0.014282887006813683,0.0,0.010897412261416939,0.005893804881333065
第 6 分钟内,0.0007337238101911003,0.008525542892481974,0.0004113907921348692,0.0,0.002589228834772306,0.0,0.0063248374307260935,0.002796327663265652,0.0007233727502987675,0.005326521036076115,0.00012039323414436698,0.0030979310500558466,0.007986768430162994,0.008759220883328811,0.014826194402031145,0.005662385777674084,0.002153308869887516,0.0003490515842013986,0.0,0.0,0.023421003185067235,0.0058896214915300504,0.005365561763606808,0.006885544308200986,0.009397284966616182
第 7 分钟内,0.005618576018602384,0.0,0.0008357491189293076,0.0,0.0008036764993435974,0.003889016742303908,0.0030534958371299936,0.012859523870037304,0.0029398807092418933,0.0027332321039673646,0.007324660950250861,0.007352682916955122,0.002130615735132846,0.0,0.0,0.0012925401516694635,0.006451528062086487,0.00426840071664103,0.0038133903405952463,0.007989627516365783,0.011248137180299045,0.009618017695232295,0.010453799800259622,0.010933841140539524,0.004045018329519312
第 8 分钟内,0.0,0.0002946877522831959,0.0,0.0016170668058654303,0.0035550050045946024,0.0011885740310643156,0.0027552391311786995,0.002682991058822859,0.00541829261620419,0.0,0.004342729805262291,0.001555218394255653,0.0058404869587306285,0.0,0.0,0.0036241278789099773,0.004869595460642029,0.0,0.0024620789601914606,0.013157327113603623,0.003341305724323229,0.006254117969191952,0.006467801911084425,0.0,0.005644080577314359
第 9 分钟内,0.004437161904305209,0.0046065377020383935,0.0028579494663659166,0.00029367272637054187,0.0005370540120407385,0.008266011078182811,0.0004763053805824091,0.005696219213053855,0.0,0.0059306876759640526,0.006375207654454984,0.0,0.00172145375216326,0.008948973274417571,0.0,0.0,0.0026311028900961597,0.007742222134551224,0.0014179328492633925,0.006422828899709465,0.003587564338609628,0.0030407413498980684,0.0,0.00881426198433477,0.0029376232366125077
第 10 分钟内,0.004142445333296774,0.0027917723157259156,0.0008334795507584647,0.0016976954162500335,0.002138026456912412,0.0,0.005793197597166899,0.0019878233480690177,0.0034220118719331394,0.0035914504424322535,0.0,0.00956277865032984,0.0,0.005609153295899505,0.001278349935093348,0.0030727468206785957,0.0009440327051393194,0.003767098785259715,0.0027407516217858863,0.0,0.008054960646598497,0.010500974629651383,0.001992355098555887,0.0084096691643758,0.005396274585057537
第 11 分钟内,0.00272335229057985,0.0002530120928152524,0.004932037231292152,0.002903644063748545,0.0036213228868051117,0.0,0.0007332240174821036,0.0032792067688928173,0.0,0.000300717176456633,0.0020514592792684194,0.00402630938778803,0.0006270580689176075,0.004578545769427289,0.005756717243315279,0.0042404733815939455,0.0,0.0017951508963450769,0.0,0.0033253269832053123,0.0033307234632597993,0.0,0.0,0.0,0.0018798129725814405
第 12 分钟内,0.003374463534899119,0.004151662026828151,0.0,0.0,0.0008246198182382258,0.005344646439799261,0.0,0.00455469996341884,0.0014820059965434673,0.0016184629828710495,0.000696110835763486,0.002037816186626795,0.0013646440064156717,0.0,0.003884149973436446,0.003148551762950369,0.006992859638097371,0.0004037266128111838,0.0008785520730293372,0.0010935046049044272,0.007686107253870755,0.006764379891500694,0.0035399100705499897,0.013789734308929491,0.00384323474127668
第 13 分钟内,0.0003515686070217905,0.0,0.0,0.00041552067613226384,0.002057709521856299,0.004306354582071847,0.0,0.0,0.002820593712953512,0.0,0.0,0.0004393898968774179,0.0,0.004973188017632579,0.004387591284822578,0.0007137424838583595,0.0,0.0017333092626667934,0.005257403156725071,0.0020946776589181315,0.012134510271852639,0.0003323753349766534,0.008640935339943479,0.0,0.0016937884843704065
第 14 分钟内,0.0,0.006492777394078941,0.0,0.0,8.314588490965225e-05,0.0,0.0032753581405657872,0.0,0.0009576614736237499,0.0,0.0020675460284073077,0.0038013725295028555,5.411964200563446e-06,0.008764229400221368,0.0012000241703262748,0.005594412217105882,0.0024974627355266454,0.0038321226396700325,0.0091345264322652,0.0017179829024485116,0.006933502640118272,0.004671526687137106,0.0,0.008297753051919932,0.007987433249400322
第 15 分钟内,0.002512130401796875,0.0027617406957457513,0.0,0.0015771548741783659,0.001111081041460238,0.0010419190123355238,0.00039111905668198776,0.0027947535299133186,0.0028277562956811053,0.0,0.006202900301340963,0.0,0.006616896514819115,0.0,0.0032936358150739142,0.0,0.0012314008882527983,0.0029401135033383374,0.003678251987911163,0.005524011842828469,0.00037056651218425607,0.0016042506933828804,0.0047707263919503085,0.0,0.0011470434698686027
第 16 分钟内,0.0,0.0,0.00037294099703483186,0.006968207934508641,0.0018547155659897618,0.0,0.0017839380976105712,0.004653292677975984,0.0003486426738922299,0.0035491837462497955,0.0029143489739245076,0.002003516367336533,0.0024539326599292144,0.001195390437627064,0.0,0.0004963370624824215,0.004461473793569648,0.00012422215505891732,0.0017661264246841002,0.0,0.0,0.007438757052101286,0.005897132978646136,0.0010475965033238666,0.006893425868850667
第 17 分钟内,0.0,4.40248801206744e-05,0.0032757806623509578,6.897678378470218e-07,0.0,0.0,0.0,0.0012778611417317842,0.0014897539923994785,0.0019189059205414472,0.0016644651865611593,0.0032548624186888864,0.00018185459834418882,0.0,0.0,0.0015537266447109843,0.0047356685315059766,0.00234259488458477,0.002343464185332267,0.0,0.0009609083193611312,0.00280378205848808,0.001952476725739949,0.007110690714241308,0.005193725856420528
第 18 分钟内,0.004009419238078293,0.0,0.0,0.001121745223556292,0.0,0.004660146434239287,0.0012098434838334615,3.4297655544301975e-05,0.0,0.002697318103610402,0.0004366824478311271,0.0016183403032254962,0.0,0.0011064757346194165,0.00238399747962581,0.0062763427253120785,5.852691227659079e-05,0.0,0.0,0.0,0.006307954982135211,0.004036028009836379,0.014345857583272448,0.0035696176314916617,0.0022781868479853085
第 19 分钟内,0.0,0.0004637700400462741,0.0,0.0,1.2771376701747883e-06,0.0,0.0010866181429385335,0.0038928674323353007,0.003574554450780032,0.0,0.0011361151477888853,0.0015363291028243076,0.0,0.0,0.002020744314465195,0.0019931921430038635,0.0,0.0041049759886530035,0.0014650975456291793,0.004110506267253955,0.0017833176376598203,0.002469049424446146,0.00154440850173998,0.0,0.002488442820416603
