,通道_00,通道_01,通道_02,通道_03,通道_04,通道_10,通道_11,通道_12,通道_13,通道_14,通道_20,通道_21,通道_22,通道_23,通道_24,通道_30,通道_31,通道_32,通道_33,通道_34,通道_40,通道_41,通道_42,通道_43,通道_44
第 1 分钟内,0.0,5.8777220652345745,5.040508650392966,11.709138591561878,10.699291998943123,5.234241557252645,5.128924366943823,6.560255833486958,9.800480157052558,13.763963905406277,7.2339376123240315,5.307852497942951,5.193013643154146,8.017670661447672,14.141100707278326,5.022409220909563,6.200938749247122,7.433857033950905,6.764471944145386,7.869708212690149,6.22479011049385,6.124871732084921,4.669547159410862,4.22471929110984,5.921803420123056
第 2 分钟内,0.0,0.7362041540772494,2.751511034809968,3.1428297962114686,4.676684748374988,0.48738098689079645,2.1422798420691223,3.9528923344089946,3.583517478221945,5.407008107210914,1.2796540126472096,1.7017434530565008,1.7064461367802777,2.197706210009933,2.0246945818312727,1.7137186325770077,3.1254139131510574,1.751906438217438,2.7431116783470855,2.3901659495676837,1.7286146272671725,2.7100609714759467,2.0278020986909184,1.6763746194113658,1.1480221111294058
第 3 分钟内,0.0,1.8339461879845642,0.29613960792805977,2.651056114285889,2.9185988212944807,1.1130436154898447,2.1432810008947727,1.3436434548787222,1.5918464693891035,2.8422446925769136,1.1040872096875824,0.9687918178314933,1.5709574777889308,2.381331989717271,1.0003366224456547,1.228304840301422,0.743814963361129,1.000286552289398,1.0291233158526236,2.3264629757601045,1.059294027838881,1.4990587391003987,0.0,1.531392126042228,1.5741425783236649
第 4 分钟内,4.228181111389316,2.634290894348061,1.5829528058597857,3.974652478817562,1.2719377118606399,0.9336666885347223,0.32180517180114504,0.0,1.5000055566015245,1.3174787321445063,0.412840219725689,0.6373633600586575,1.1648849161029924,0.873164463698702,0.46747689748880855,0.22480225899184206,0.8159229689810621,0.6985720277339147,1.693232178100385,1.4657900575009202,0.793927330477987,1.027071730481841,0.4550196578396374,0.6900062692099685,0.9045736793467162
第 5 分钟内,0.8915060988278987,1.378378175581012,3.1194020673314635,0.32749945810920866,0.404626564772986,1.0649241428930554,0.9161080568405781,0.7290857555480537,2.040620665293871,0.0,0.8893758599636018,1.7922688021540862,1.078970540646926,0.6257785199398092,0.1351902796383486,0.6563412798200883,0.8653799449232301,0.8994652399043204,0.29744004682856356,0.17268343130056232,1.0310524985907095,0.6787248369366063,1.0372638720195637,0.4358767954604466,1.3340542042548218
第 6 分钟内,0.38719483106665215,0.9521360558907754,0.8834938675510029,0.8818964712358164,1.4549877584850501,1.0718727011598574,0.5070619646327388,0.39169514660717786,0.13995857861292343,0.8043277552555548,0.7671128675156613,0.2970398320400021,0.3565960079839268,0.8736859412853679,0.7476024772427451,0.17297718119766178,0.7075958884436538,0.0,0.0,0.5804555336520449,0.6235412643655831,0.8866128356931491,0.5767702115023928,0.8330719773725604,0.7533435232141268
第 7 分钟内,1.6412392309503243,0.531431202639246,0.9193709144608357,3.0785094741884187,0.4578022586458403,0.9023204753556271,0.8161109085694193,0.6445559680273083,1.289556394008797,1.949108826446715,0.33960819365394435,0.0,0.5171265377385765,0.7127877699860836,0.1396637103814397,1.0862854572998757,0.0,0.544983391984174,1.1869054923852482,0.5375844979177744,0.16814331430201918,0.2600940885445799,0.4741830425007569,0.6283022210956983,0.6517483734159988
第 8 分钟内,0.5867310194773722,1.876064890996632,0.06860913393753568,0.0,0.8465020163680124,0.6275878506058761,0.4611316880430708,1.3712544740169816,0.9594870390051342,0.5882366728148772,0.4443131938140608,0.0,0.7421954499870146,0.45363302876098466,1.029373012722938,0.6119777194823725,0.2402548155370359,0.4996006159218918,0.5804809188096952,1.2595745042304614,0.548164232238766,0.1914526641402727,0.2581155838241001,0.45873397288885237,0.2521190394766629
第 9 分钟内,0.0,0.8822868563004629,0.0,1.2161378382884134,0.0,0.0722362142925495,0.6779651790237031,0.3754378328556709,0.3452657580652834,0.0,0.3547144449559687,0.6506314726206888,0.012022439201232884,0.9248394503802106,0.19544469991479071,0.1710899177886095,0.0,0.0,0.15455147249732637,0.5122417539544419,0.23974512167328033,0.15248283604258114,0.19557402619029057,0.22682385509482117,0.0
第 10 分钟内,2.182740032728804,0.6514238469767198,0.66825178851185,0.0,0.0,0.668637252769885,0.6720496887989456,0.2788916778628241,0.4189667122939382,0.060496344234833396,0.27525211029374824,0.6765691440564163,0.1728336951644027,0.49290443644703275,0.0,0.04479534728421133,0.8612198222293973,0.851574019990413,0.5561139465100188,0.4130101046787041,0.3349636365476494,0.02151147188131709,0.1537253879868046,0.38168314349646004,0.2437367018902343
