,通道_00,通道_01,通道_02,通道_03,通道_04,通道_10,通道_11,通道_12,通道_13,通道_14,通道_20,通道_21,通道_22,通道_23,通道_24,通道_30,通道_31,通道_32,通道_33,通道_34,通道_40,通道_41,通道_42,通道_43,通道_44
第 1 分钟内,0.0,4.197332140513001,3.536177213467352,8.681310553523051,4.259309346493369,4.344290368631194,4.157222992440094,5.48949468167165,6.989757479534448,9.494559708743745,6.825454138166909,4.866869938856806,4.561619956854696,6.749409159197876,11.01250120036868,4.791393715217272,5.82400813460729,6.732202002387963,5.730690271024985,6.143115521764858,5.95898149168334,5.68482887709162,4.3445324405963275,3.782673196421196,5.224962580247277
第 2 分钟内,0.0,0.5575662325975052,2.095064045003681,2.7337173278978484,2.11640246673845,0.42859814577423294,1.8716928638197867,3.6935078541499076,2.935356069118987,4.590593471825934,1.3216889810469379,1.6788580033017024,1.6082467205551887,2.0574241857675495,1.8789522190104615,1.7559817241365572,3.2411964936839315,1.7451114275281283,2.5663573933207546,2.074472066500644,1.7988541822605355,2.765301582838725,2.0254470860388856,1.5960017137155262,1.0893340698349427
第 3 分钟内,0.0,1.4375472188814475,0.2307280830805272,2.4765333441268127,1.4438792543081396,0.9962530779160426,1.960482163247104,1.3328521023158522,1.3828578565214962,2.66807368647709,1.171224968284461,0.9824749320292328,1.5331956295731082,2.3418769467240392,0.9608317252957157,1.296219372645044,0.8046902281893652,1.0282522490392516,1.0013085246628224,2.1271259196210637,1.1390936310561375,1.6023745644608616,0.0,1.510859308930463,1.540734914562204
第 4 分钟内,2.631872409254214,2.167304881287398,1.2782132420845116,4.012919644358753,0.6897297301675761,0.8538424256842978,0.30487546153729944,0.0,1.349527098886855,1.2943390166510396,0.4433390727671853,0.6603657459178528,1.1733058946348045,0.8922820672703974,0.46478078963593505,0.2428384306329449,0.8982360794671835,0.731559367334551,1.6997545294645195,1.3956777377621077,0.8674363116990133,1.1276320745901203,0.46219163715127304,0.69699382036911,0.9099743667384527
第 5 分钟内,0.5756320880298056,1.1915614748311134,2.6350897268877977,0.35302357381369914,0.19957236092339373,0.9955363900701995,0.8708211326133306,0.7360078146754717,1.9101200428747505,0.0,0.9724430301810485,1.906092837311928,1.1137084856069213,0.6508735245291409,0.132550494306568,0.712274162842426,0.9732265968966677,0.9575465556285073,0.3056206064385819,0.17008079115584868,1.1527354442503244,0.7592316144786062,1.0730378167731747,0.44449064278767136,1.3737179478686583
第 6 分钟内,0.2548670680292469,0.8371075425960713,0.7816022863333694,0.9469365102700817,0.8155711169624186,1.0216313789724036,0.4920023028034015,0.40087238452105955,0.1335080048652211,0.8088036986444943,0.8545061801454451,0.321659851048177,0.37446117675509194,0.9210957284370996,0.7406896891399932,0.18858819101194146,0.8085241460458421,0.0,0.0,0.5673586274486223,0.7099389173332336,1.0125398403839376,0.6058925348118124,0.8621383771851902,0.7952981389077599
第 7 分钟内,1.1048066799031713,0.4733419573229001,0.8280029115248386,3.513578693577256,0.25922233534798783,0.8811006534560848,0.8006131815718962,0.6639134068897976,1.2651760269283603,2.025815626148641,0.38372516011135765,0.0,0.5478885293985134,0.768080323493614,0.14504542675461812,1.203957182474859,0.0,0.5902547213548679,1.2315698206666137,0.5349820491375391,0.19581445002915893,0.3002088631405591,0.5041313016833797,0.6624707995334774,0.6982766960723409
第 8 分钟内,0.40224113663226196,1.7344576678244825,0.061266151097642864,0.0,0.4627243638041949,0.6233599153292692,0.45901483527340553,1.4486361740368732,0.963907777319731,0.6292743238569118,0.5076125124994636,0.0,0.7979110815371102,0.49402223652654387,1.0475009873513028,0.6932914656130796,0.27918505539828004,0.5469631112186102,0.6152982999279706,1.2746254078640016,0.6335729537358177,0.22295878017709342,0.2788479386997723,0.4889880124173865,0.27283745955655575
第 9 分钟内,0.0,0.8405695579831411,0.0,1.4345537704557045,0.0,0.07204668934916048,0.6850792296335209,0.4065332942700943,0.34701272306248193,0.0,0.4058804850140539,0.7051610972989638,0.014222686203287045,1.026656847965093,0.2033612631270856,0.19506614910213105,0.0,0.0,0.166257380160216,0.5391627605272206,0.2799146919774896,0.17786990917238102,0.20865282418012662,0.24275659520021603,0.0
第 10 分钟内,1.4935815295722035,0.6323846803594342,0.6122672560825495,0.0,0.0,0.6743749839732482,0.6928440458479898,0.30470479547291807,0.4363873573569095,0.06447880678085312,0.31858698244685957,0.7476564799418944,0.1870233105218816,0.5559103541961423,0.0,0.05086946912495722,1.0030512510311291,0.9473584942968466,0.6020360870591238,0.4234721082659188,0.3942065887720225,0.025361275297029792,0.1671535287968461,0.4134543237652484,0.2641245398357508
第 11 分钟内,0.3223143653836164,0.5161084080423256,0.4458317787054078,0.6490699783557325,0.48723556598767576,0.601389034292379,0.8947294145477266,0.5153117762312642,0.0,1.6298760656719509,0.2182753637899391,0.5627143407193219,0.409674121484936,0.05414151935769178,0.46552406140913755,0.13850251134803884,0.11561451928944744,0.524548443436495,0.11491563602672156,1.052315138209352,0.20351737035879724,0.10907809182595975,0.3535867537818785,0.22179954884294348,0.642030783919191
第 12 分钟内,0.0,0.0,0.35739325602765676,0.0,0.0,0.030127812992504586,0.28116898071367097,0.24511615500365438,0.03980099607223921,0.31189943700738326,0.3002750368565802,1.098567776275861,0.8718358030531089,0.39085098794147527,0.5696665688834622,0.2365322050205956,0.08078076391871156,0.1737605104326718,0.3143663680749509,0.8042051027285095,0.07982076428757832,0.3431450374630891,0.1133057234510889,0.21297116133737365,0.5196063201792364
第 13 分钟内,0.0,1.5182853903661189,0.2988573061450049,1.621557161391438,1.8803851735966517,0.0,0.2981776681646873,0.49830267060060934,1.1961476526214192,0.7025953325623424,0.12246142187844519,0.2697111134269401,0.0,0.2401614232393461,1.9536890965459508,0.24781067567710122,0.0679262446300215,0.0,0.7593372870500837,0.02761694553930456,0.19242755185702595,0.20001036025071536,0.6259245247601017,0.4422081415640722,0.8419899968567288
第 14 分钟内,0.0,1.624033694058684,0.16442447951288242,0.2604341626971835,0.014112701264806307,0.16250126327734782,0.22009649725142094,0.026464946270262017,0.0,0.34649084385170736,0.4198888400770947,0.35721642040111073,0.4768669372098967,0.2080266659293352,0.34904034435764625,0.34093582209201456,0.6088565444188663,0.2013948945326359,0.13419333732967548,0.0,0.36147643139133095,0.33097057035980726,0.0,0.02290502564544526,0.1464286009325496
第 15 分钟内,1.3804477761736065,0.0,0.0,0.5309333540478388,0.0,0.36169053835106413,0.48141005748396015,0.17373283889069904,0.005888560280660218,0.0,0.19529909091658781,0.2754454003762898,0.3158419773483953,0.0,0.702956225531875,0.0,0.12722361128869167,0.5126643586668647,0.4527244200061894,0.0,0.4839860881369039,0.21591901830298968,0.0491303368125293,0.0,0.0
第 16 分钟内,1.0934384381217408,0.022752314373462156,0.06558108947964793,0.6065849800190879,0.0,0.26343800183182076,0.0,0.01542623143253769,1.127446636730301,0.0,0.24250231383316198,0.0,0.0,0.22307220124076266,1.1911951240409766,0.2948433792026103,0.015019134078498152,0.3262310860699877,0.5480402482075544,1.4045537482757247,0.19621297503370294,0.4490569509187818,0.41410339469662977,0.39348306613900513,0.07731105667879891
第 17 分钟内,0.0,0.0,0.0,0.7979665293553869,0.5059514441969106,0.23207685372087808,0.08249811008314722,0.0,1.0916152532601153,0.8063628255272659,0.21704686951122343,0.9076867478421075,0.5707363773249761,0.12154938779092052,0.07988422288121595,0.26354341553486466,0.21891278631679414,0.09490496415383078,0.0,0.736751196335677,0.27642116959713553,0.025478509921901392,0.0,0.17226073411773107,0.046360674712239563
第 18 分钟内,0.012296728744436422,0.0,0.5929816862559427,0.0,0.0,0.27118047270653656,0.1557978336009857,0.46771155144073534,0.430456962667119,0.7380966788109368,0.14482621115232672,0.3126014840891653,0.3832894635883837,0.10014760789158045,0.31519111113650566,0.004665275198106592,0.05585846463318836,0.29926883892575323,0.09646575577243524,0.10612328891967124,0.040366846802971805,0.20246365527452223,0.5494188830734259,0.06744413951363479,0.6322554681615176
第 19 分钟内,1.8866133419890099,0.0,0.02876846104377095,0.49848756893384183,0.36622233794889963,0.0,0.0,0.37860030120959165,0.3124429399353032,0.28632838885819156,0.29106050718734594,0.11083302042661654,0.3135880760375507,1.2704605674528395,1.1445130876909673,0.09921940192717889,0.11222886310677449,0.2711759394713671,0.3288488006102308,0.1438156036095654,0.05826057963258854,0.0,0.1123834026655497,0.14392078232389915,0.31462055016050633
第 20 分钟内,1.4683180261652435,0.5098471839177685,0.0,0.32639836789359783,0.0,0.35626760498734683,0.42401505738162426,0.18616121912543682,0.0,0.16080553750689963,0.43823729942616085,0.059058471561545915,0.0,0.0,0.0,0.05275301482024101,0.338086186356667,0.21011289885988255,0.861677701204063,0.0,0.03471684090241817,0.060804010032737534,0.32428264410330576,0.11072714954999004,0.0
第 21 分钟内,0.18357563503154098,1.133011744876721,0.3490822477867747,0.0,0.10588546230303059,0.14336200120940612,0.44756623438803866,0.0,0.0,0.14336803220896469,0.3300246275513484,0.55112934055819,1.1324606131143995,0.22971875387405916,0.4700269539840466,0.16985537882147494,0.15869501585834947,0.02431175708944351,0.0,0.23701483602514528,0.4648174036262008,0.016317321147381533,0.4795612666173128,0.0531259345109365,0.5620660448399315
